Dataset,Benchmark family,Modality,Benchmark tier,Access type,"Linked models, n","Atlas edges, n","High-confidence edges, n","Medium-confidence edges, n","Low-confidence edges, n",Confidence profile,Example linked models
MIMIC-CXR Database,Mimic,chest x-ray,tier1_canonical,credentialed,36,36,28,8,0,28 high / 8 medium / 0 low,"ChantalPellegrini/RaDialog-interactive-radiology-report-generation, ChicagoHAI/cxr-eval-gpt-4v, IAMJB/chexpert-mimic-cxr-findings-baseline, IAMJB/chexpert-mimic-cxr-impression-baseline"
CheXpert,Chexpert,chest x-ray,tier1_canonical,open,33,33,28,5,0,28 high / 5 medium / 0 low,"1aurent/vit_base_patch16_224.medmae_CXR_mae_ft_CheXpert, 1aurent/vit_small_patch16_224.medmae_CXR_mae_ft_CheXpert, AlperSayan/chest-Xray-Disease-Detection-CheXpert-Deep-Learning, ChantalPellegrini/RaDialog-interactive-radiology-report-generation"
BraTS,Mri,mri,tier1_canonical,restricted,16,16,0,16,0,0 high / 16 medium / 0 low,"Akaqox/3D-Brain-Tumor-Sementation-with-UNet, BrainLesion/GlioMODA, MahsaAm2/Brain-Tumor-Segmentation, alirezash97/BraTS"
fastMRI,Mri,mri,tier1_canonical,open,16,16,0,16,0,0 high / 16 medium / 0 low,"Jeevitha-aj-Github/mri-extreme-undersampling-reconstruction, Kowasaki/fastmri-2019-challenge, MathijsVanhaverbeke/fastMRI-hybrid-modelling, cai2r/fastMRI_prostate"
LIDC-IDRI,Ct,ct,tier1_canonical,open,15,15,0,15,0,0 high / 15 medium / 0 low,"DebinaLaishram/xray-ct-reconstruction, EstevesX10/Lung-Cancer-Classification-with-CT-Scans, ParinazD/CTScanLungCancerV2, Pedrooamaroo/LungRadiomics"
RadGraph,Radgraph,chest x-ray,tier1_canonical,credentialed,9,9,7,2,0,7 high / 2 medium / 0 low,"ChicagoHAI/cxr-eval-gpt-4v, IAMJB/chexpert-mimic-cxr-findings-baseline, IAMJB/chexpert-mimic-cxr-impression-baseline, IAMJB/mimic-cxr-findings-baseline"
RadGraph-XL,Radgraph,chest x-ray,tier2_derived,credentialed,9,9,7,2,0,7 high / 2 medium / 0 low,"ChicagoHAI/cxr-eval-gpt-4v, IAMJB/chexpert-mimic-cxr-findings-baseline, IAMJB/chexpert-mimic-cxr-impression-baseline, IAMJB/mimic-cxr-findings-baseline"
PadChest,Other,chest x-ray,tier1_canonical,open,6,6,6,0,0,6 high / 0 medium / 0 low,"ECOFRI/CXR-LLAVA-v2, IAMJB/chexpert-mimic-cxr-findings-baseline, IAMJB/chexpert-mimic-cxr-impression-baseline, IAMJB/mimic-cxr-findings-baseline"
CBIS-DDSM,Mammography,mammography,tier1_canonical,open,5,5,0,4,1,0 high / 4 medium / 1 low,"Devansh070805/Mammography-Reports-Based-Breast-Cancer-Detection, PepeuFBV/breast_cancer_analysis, jodogne/orthanc-mammography, koesan/Breast_Cancer_Classification"
ChestX-ray14,Other,chest x-ray,tier1_canonical,open,5,5,3,0,2,3 high / 0 medium / 2 low,"DanishH/stable-diffusion-chest-xray-2, PatrickDdx/chest-xray-classification, Zhenwu-C-Wang/chest-xray-adaptation, anassaifi8912/chestxray-blip-report-generator"
OpenI,Other,chest x-ray,tier1_canonical,open,4,4,3,1,0,3 high / 1 medium / 0 low,"MoMarky/radiology-report-extraction, Sand-Red/Llama_CXR_OpenI, TommyIX/CXR-LLaVA-7b, ppddddpp/unified-multimodal-chestxray"
INbreast,Mammography,mammography,tier1_canonical,restricted,2,2,0,2,0,0 high / 2 medium / 0 low,"PepeuFBV/breast_cancer_analysis, lishen/end2end-all-conv"
MS-CXR,Mimic,chest x-ray,tier2_derived,credentialed,2,2,0,2,0,0 high / 2 medium / 0 low,"microsoft/BiomedVLP-CXR-BERT-general, microsoft/BiomedVLP-CXR-BERT-specialized"
MIAS,Mammography,mammography,tier1_canonical,open,1,1,0,1,0,0 high / 1 medium / 0 low,ibrar-syed/mammography-classification_by_Deep_Learning
OASIS,Mri,mri,tier1_canonical,open,1,1,0,1,0,0 high / 1 medium / 0 low,zaccharieramzi/fastmri-reproducible-benchmark
RaDialog Instruct,Radialog,chest x-ray,tier2_derived,credentialed,1,1,0,1,0,0 high / 1 medium / 0 low,ChantalPellegrini/RaDialog-interactive-radiology-report-generation
VinDr-CXR,Vindr,chest x-ray,tier1_canonical,credentialed,1,1,0,1,0,0 high / 1 medium / 0 low,theomthakur/ece-gy-9183-group19
VinDr-Mammo,Vindr,mammography,tier1_canonical,restricted,1,1,0,1,0,0 high / 1 medium / 0 low,nggiabao19/BreastCancerClassificationWithFuzzyLayer
